,,,,,,,Universe Estimates,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TV Households and Persons by Age/Sex Therein,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Population as of January 1, 2026",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Effective September 27, 2025",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DMA Name,Total HHs,Total TVHHs,Black TV HHs,Hisp TVHHs,TVHHs w/child <18,Children 2-5,Children 6-11,Males 12-14,Males 15-17,Males 18-20,Males 21-24,Males 25-34,Males 35-44,Males 45-49,Males 50-54,Males 55-64,Males 65+,Females 12-14,Females 15-17,Females 18-20,Females 21-24,Females 25-34,Females 35-44,Females 45-49,Females 50-54,Females 55-64,Females 65+,
500,"Portland-Auburn, ME",458900,439280,13240,8420,"101,060","36,916","58,722","16,487","16,713","19,080","21,670","56,774","64,088","29,512","30,276","70,878","115,348","15,628","15,698","19,035","20,936","56,346","64,892","30,246","31,132","75,266","132,867",
501,"New York, NY",8151000,7841830,1400000,1721590,"2,269,150","943,685","1,444,596","394,104","388,586","446,445","506,171","1,349,647","1,403,674","656,652","651,514","1,324,062","1,753,469","375,523","368,226","451,072","499,797","1,379,624","1,420,010","681,231","684,793","1,422,388","2,219,049",
502,"Binghamton, NY",138600,135250,7980,4910,"33,630","12,458","19,677","5,512","5,656","7,186","9,651","18,029","17,691","8,596","8,613","20,783","34,373","5,154","5,143","6,867","8,761","17,609","17,707","8,606","8,686","21,094","38,614",
503,"Macon, GA",266000,260340,108230,10620,"79,680","31,268","48,847","13,382","13,326","14,260","17,019","38,047","37,469","18,087","18,021","37,819","54,217","13,000","12,798","14,300","16,835","40,742","43,165","20,432","19,965","42,380","68,874",
504,"Philadelphia, PA",3283600,3174280,659990,365070,"913,800","363,059","563,702","155,282","155,826","177,291","199,409","496,521","529,742","241,973","237,534","500,235","698,399","148,669","149,103","179,838","196,768","510,992","549,940","255,035","252,152","541,916","869,365",
505,"Detroit, MI",2014500,1971580,438400,85290,"530,390","214,517","333,945","91,547","91,610","102,417","123,675","310,064","306,749","140,890","146,324","311,149","425,611","87,300","86,673","99,830","118,388","306,490","311,025","147,437","153,850","326,611","520,479",
506,"Boston, MA (Manchester, NH)",2718300,2599640,215580,258010,"706,750","265,298","411,202","112,974","115,342","133,730","156,422","427,536","440,264","198,768","197,322","427,187","587,285","107,871","108,753","134,995","155,642","427,986","446,798","204,734","206,601","454,521","711,148",
507,"Savannah, GA",416000,407430,113060,28930,"116,210","48,781","73,143","19,392","19,056","21,332","27,752","64,281","61,893","27,331","26,752","56,006","91,830","18,557","18,019","20,963","26,707","65,852","65,855","29,866","29,221","63,729","111,158",
508,"Pittsburgh, PA",1199300,1163160,106740,23060,"276,480","103,989","162,942","44,819","45,133","53,209","63,874","159,263","174,764","78,457","77,781","172,015","279,214","42,700","42,500","53,063","61,537","155,137","170,195","77,576","77,906","179,564","337,651",
509,"Ft. Wayne, IN",303000,295890,24450,16400,"88,850","39,329","59,348","15,957","15,444","16,725","19,205","46,357","45,448","21,711","21,507","43,652","62,679","15,246","14,718","16,417","18,447","45,834","46,096","21,691","21,401","44,322","73,358",
510,"Cleveland-Akron (Canton), OH",1616600,1562740,261480,67340,"396,150","160,309","249,606","68,849","68,535","74,314","87,437","219,088","223,610","105,010","106,783","230,842","355,364","65,587","64,925","72,907","84,856","219,409","229,919","108,718","110,859","245,890","433,164",
511,"Washington, DC (Hagerstown, MD)",2762700,2692300,711270,339320,"834,850","335,435","523,335","142,971","139,833","147,242","169,905","459,768","507,117","240,260","231,664","440,603","535,703","136,095","131,860","145,674","167,190","475,729","514,330","246,750","237,152","460,534","649,882",
