SEASON,SEASON TYPE,SPORT,NETWORK,PROGRAM,EPISODE,DATE,TELECAST TIME,DURATION (MINS),P2+,P18-49
2023/2024,ALL STAR WEEKEND,NBA,TNT,"2024 NBA ALL STAR GAME ROLL UP W/ TBS, TRUTV AND REPLAY",EAST/WEST,2/18/2024,8:34:00 PM,143,6022,3030
2023/2024,ALL STAR WEEKEND,NBA,TNT,"NBA ALLSTAR RISING STARS ROLL UP W/ TRUTV, REPLAY",RISING STARS CHALLENGE,2/16/2024,9:00:00 PM,126,1180,599
2023/2024,ALL STAR WEEKEND,NBA,TNT,"NBA ALLSTAR SAT NIGHT ROLL UP W/ TRUTV, REPLAY",N/A,2/17/2024,8:00:00 PM,190,5023,2317
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 1,MAVERICKS AT CELTICS,6/6/2024,8:33:00 PM,147,10997,4628
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 2,MAVERICKS AT CELTICS,6/9/2024,8:03:00 PM,146,12313,5029
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 3 W/ ESPN ROLLUP,CELTICS AT MAVERICKS,6/12/2024,8:32:00 PM,150,11430,4404
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 4,CELTICS AT MAVERICKS,6/14/2024,8:32:00 PM,151,9619,3718
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 5,MAVERICKS AT CELTICS,6/17/2024,8:32:00 PM,151,12228,4818
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 1,MAVERICKS AT CELTICS,6/6/2024,8:33:00 PM,147,10997,4628
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 2,MAVERICKS AT CELTICS,6/9/2024,8:03:00 PM,146,12313,5029
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 3 W/ ESPN ROLLUP,CELTICS AT MAVERICKS,6/12/2024,8:32:00 PM,150,11430,4404
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 4,CELTICS AT MAVERICKS,6/14/2024,8:32:00 PM,151,9619,3718
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 5,MAVERICKS AT CELTICS,6/17/2024,8:32:00 PM,151,12228,4818
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC1-4/21,HEAT AT CELTICS,4/21/2024,1:00:00 PM,150,3783,1352
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC1-4/28,NY KNICKS AT 76'ERS,4/28/2024,1:00:00 PM,174,4645,1639
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-4/21,MAVERICKS AT CLIPPERS,4/21/2024,3:30:00 PM,158,4661,1780
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-4/28,CLIPPERS AT MAVERICKS,4/28/2024,3:54:00 PM,156,5555,2128
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-5/11,CELTICS AT CAVALIERS,5/11/2024,8:30:00 PM,146,5602,2037
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-4/20,LAKERS AT NUGGETS,4/20/2024,8:35:00 PM,145,5652,2191
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-4/27,NUGGETS AT LAKERS,4/27/2024,8:30:00 PM,154,5669,2265
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/11,THUNDER AT MAVERICKS,5/11/2024,3:30:00 PM,160,3865,1431
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/12,NY KNICKS AT PACERS,5/12/2024,3:30:00 PM,150,5034,1743
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/18,THUNDER AT MAVERICKS,5/18/2024,8:00:00 PM,160,5604,2085
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/19,PACERS AT NY KNICKS,5/19/2024,3:30:00 PM,161,6447,2422
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/25,CELTICS AT PACERS,5/25/2024,8:30:00 PM,162,6482,2262
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/5,MAGIC AT CAVALIERS,5/5/2024,1:00:00 PM,175,4324,1516
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L,ATLANTA/CHICAGO,4/17/2024,9:48:00 PM,144,3072,1507
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L,CHICAGO/MIAMI,4/19/2024,7:08:00 PM,141,2253,960
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L ROLL UP W/ ESPN2,MIAMI/PHILADELPHIA,4/17/2024,7:10:00 PM,158,3405,1613
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,CLEVELAND/ORLANDO,5/3/2024,7:08:00 PM,156,2944,1153
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,LA CLIPPERS/DALLAS,4/26/2024,8:36:00 PM,132,3342,1545
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,LA CLIPPERS/DALLAS,5/3/2024,9:44:00 PM,163,3903,1734
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,MILWAUKEE/INDIANA,4/26/2024,5:38:00 PM,178,2169,957
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,MINNESOTA/PHOENIX,4/26/2024,10:48:00 PM,160,2695,1315
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,ORLANDO/CLEVELAND,4/20/2024,1:09:00 PM,158,2186,953
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,PHILADELPHIA/NY KNICKS,4/20/2024,6:25:00 PM,155,4193,1767
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,PHOENIX/MINNESOTA,4/20/2024,3:47:00 PM,158,3121,1405
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS  L,INDIANA/BOSTON,5/23/2024,8:08:00 PM,151,5636,2345
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS L ROLL UP W/ ESPN2,BOSTON/INDIANA,5/27/2024,8:09:00 PM,162,6627,2505
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS L ROLL UP W/ ESPN2,INDIANA/BOSTON,5/21/2024,8:08:00 PM,175,6435,2717
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,CLEVELAND/BOSTON,5/9/2024,7:06:00 PM,151,4165,1717
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DALLAS/OKLAHOMA CITY,5/9/2024,9:37:00 PM,156,4523,2054
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DENVER/MINNESOTA,5/10/2024,9:44:00 PM,152,5209,2258
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DENVER/MINNESOTA,5/16/2024,8:38:00 PM,142,5146,2195
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,NEW YORK/INDIANA,5/10/2024,7:08:00 PM,156,4492,1807
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,NEW YORK/INDIANA,5/17/2024,8:38:00 PM,150,5023,2183
2023/2024,POST SEASON,NBA,ESPN2,NBA PLAYOFFS-1ST RD     L,PHILADELPHIA/NEW YORK,4/20/2024,6:22:00 PM,12,233,91
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,CLEVELAND/ORLANDO GM3,4/25/2024,6:59:00 PM,142,252,108
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,INDIANA/MILWAUKEE GM2,4/23/2024,8:30:00 PM,152,555,238
