Variable,n,n_na,mean,sd,median,min,max
P2+ rating (000s),639,0,"2,474.74","2,037.83","1,636.00",345.00,"18,128.00"
P18-49 rating (000s),639,0,996.97,820.03,643.00,132.00,"7,479.00"
"Starting-5 IG followers (both teams, sum)",621,18,6.94e+07,8.38e+07,3.42e+07,3.19e+06,3.77e+08
Home team-handle followers,639,0,2.06e+07,1.78e+07,1.29e+07,5.09e+06,6.30e+07
Away team-handle followers,639,0,1.95e+07,1.71e+07,1.25e+07,5.09e+06,6.30e+07
Combined DMA TV households (home+away),639,0,5.80e+06,2.89e+06,4.85e+06,1.36e+06,1.57e+07
Home team last-5 win pct,574,65,0.59,0.24,0.60,0.00,1.00
Away team last-5 win pct,575,64,0.61,0.23,0.60,0.00,1.00
Combined season win pct,594,45,0.61,0.09,0.61,0.29,1.00
Network: ABC=102; ESPN=253; NBC=18; PRIME VIDEO=35; TNT=215; TNT+TRUTV=16,,,NA,NA,NA,NA,NA
Tipoff slot: early=80; primetime=404; late=155,,,NA,NA,NA,NA,NA
Playoff stakes: regular=476; play_in=12; round1=82; round2=27; conf_finals=30; finals=12,,,NA,NA,NA,NA,NA
