family,r2_share,ci_lo,ci_up,sample
Star power,0.016710712462924014,0.012103069289277861,0.027650652373635138,full (n=573)
Team form,0.009735957397893883,0.0044073588210176455,0.023133458574662844,full (n=573)
Matchup,0.6007777800838182,0.5468193111270765,0.642282184983721,full (n=573)
Timing,0.06698618222822712,0.04979537554662746,0.09842157996671363,full (n=573)
Network,0.16474684612697094,0.1360745355736078,0.19630603480156075,full (n=573)
Market size,0.007403873769286813,0.003517502101515854,0.017091677058622773,full (n=573)
Star power,0.017727469798661948,0.013865594750571395,0.029989539594157535,pre-2025/26 (n=452)
Team form,0.013825353475837899,0.006516437997879147,0.03280499577591526,pre-2025/26 (n=452)
Matchup,0.6603273309572345,0.6070597531847806,0.6967948101319095,pre-2025/26 (n=452)
Timing,0.06401052345303662,0.04745732320608314,0.09480656521310539,pre-2025/26 (n=452)
Network,0.12579950451177335,0.0962640588907803,0.15996820632419836,pre-2025/26 (n=452)
Market size,0.007602993954264326,0.003607969237501335,0.018275266992318885,pre-2025/26 (n=452)
