family,lmg_share,ci_lo,ci_up,sensitivity,n,r_squared
Star power,0.016710712462924014,0.012103069289277861,0.027650652373635138,A: reference (log P2+),573,0.8663613520691209
Team form,0.009735957397893883,0.0044073588210176455,0.023133458574662844,A: reference (log P2+),573,0.8663613520691209
Matchup,0.6007777800838182,0.5468193111270765,0.642282184983721,A: reference (log P2+),573,0.8663613520691209
Timing,0.06698618222822712,0.04979537554662746,0.09842157996671363,A: reference (log P2+),573,0.8663613520691209
Network,0.16474684612697094,0.1360745355736078,0.19630603480156075,A: reference (log P2+),573,0.8663613520691209
Market size,0.007403873769286813,0.003517502101515854,0.017091677058622773,A: reference (log P2+),573,0.8663613520691209
Star power,0.01788575314694733,0.013300239827245364,0.03025377118072091,B: log(P18-49),573,0.8348714190900224
Team form,0.010411917062566532,0.0046562241130317815,0.02506455772552201,B: log(P18-49),573,0.8348714190900224
Matchup,0.6633205799961354,0.6076953263689449,0.6990787514211506,B: log(P18-49),573,0.8348714190900224
Timing,0.040935176508530104,0.02787967411862894,0.06976265216907247,B: log(P18-49),573,0.8348714190900224
Network,0.09559207321511362,0.07315476496114603,0.128157535174808,B: log(P18-49),573,0.8348714190900224
Market size,0.006725919160726042,0.0031506838224613742,0.0169066520316131,B: log(P18-49),573,0.8348714190900224
Star power,0.017727469798661948,0.013865594750571395,0.029989539594157535,C: pre-2025/26,452,0.8892931761508086
Team form,0.013825353475837899,0.006516437997879147,0.03280499577591526,C: pre-2025/26,452,0.8892931761508086
Matchup,0.6603273309572345,0.6070597531847806,0.6967948101319095,C: pre-2025/26,452,0.8892931761508086
Timing,0.06401052345303662,0.04745732320608314,0.09480656521310539,C: pre-2025/26,452,0.8892931761508086
Network,0.12579950451177335,0.0962640588907803,0.15996820632419836,C: pre-2025/26,452,0.8892931761508086
Market size,0.007602993954264326,0.003607969237501335,0.018275266992318885,C: pre-2025/26,452,0.8892931761508086
Star power,0.014866374426132506,0.011251836859161809,0.025756016188401322,D: drop top-10 Cook's D,563,0.891300136476514
Team form,0.010272839968495977,0.004773461111833089,0.023476155585080774,D: drop top-10 Cook's D,563,0.891300136476514
Matchup,0.6250956699760832,0.5801650333949977,0.6582076644085285,D: drop top-10 Cook's D,563,0.891300136476514
Timing,0.07215840572634173,0.05654228829966632,0.0962677453493557,D: drop top-10 Cook's D,563,0.891300136476514
Network,0.16320453534712873,0.13475893002186773,0.19387964048799922,D: drop top-10 Cook's D,563,0.891300136476514
Market size,0.005702311032328209,0.0030902720342165847,0.0139432194406916,D: drop top-10 Cook's D,563,0.891300136476514
Star power,0.017294422265813875,0.012640571989632296,0.028101122209352142,E: + post_new_deal,573,0.8672206426680039
Team form,0.009994282311299717,0.004767824854847046,0.023121132767911404,E: + post_new_deal,573,0.8672206426680039
Matchup,0.5863926520035263,0.5322962904788696,0.6222155394689073,E: + post_new_deal,573,0.8672206426680039
Timing,0.067764557655802235,0.05041634447087867,0.10104490917017646,E: + post_new_deal,573,0.8672206426680039
Network,0.15910758265103642,0.13194960795620878,0.19097547594663047,E: + post_new_deal,573,0.8672206426680039
Market size,0.007535443780021761,0.0037424451619808095,0.017829958349186346,E: + post_new_deal,573,0.8672206426680039
post_new_deal,0.019131702000500045,0.011484316192144633,0.029962515858467372,E: + post_new_deal,573,0.8672206426680039
