variable,n,n_na,mean,sd,median,min,max
p2_plus,639,0,2474.7402190923317,2037.8340108848597,1636,345,18128
p18_49,639,0,996.9749608763693,820.0259071518856,643,132,7479
starting5_followers_home,621,18,36066151.0257649,63141058.11409599,10114007,570246,256073641
starting5_followers_away,621,18,33345192.750402577,57109761.199025765,10114007,892695,256073641
starting5_followers_total,621,18,69411343.77616747,83820624.90137923,34155465,3189990,377301296
team_handle_followers_home,639,0,20599048.057902973,17819484.175600946,12874998,5086144,63008564
team_handle_followers_away,639,0,19542786.79968701,17090539.288385764,12489695,5086144,63008564
market_hh_home,639,0,2956090.071771626,2119053.815156143,2250310,679040,7841830
market_hh_away,639,0,2844407.9153850307,2016999.2394791418,2250310,679040,7841830
market_hh_combined,639,0,5800497.987156657,2888168.9867652087,4853130,1364180,15683660
home_season_win_pct,595,44,0.6098207842073938,0.13925925672515627,0.6071428571428571,0,1
away_season_win_pct,595,44,0.6077972079718544,0.13568136574867057,0.6060606060606061,0,1
home_last5_win_pct,574,65,0.5930313588850175,0.23710045085734033,0.6,0,1
away_last5_win_pct,575,64,0.6066086956521739,0.22958410723216857,0.6,0,1
combined_season_win_pct,594,45,0.6081504253759703,0.09279392721004179,0.6116678122076484,0.2894736842105263,1
